"fValues" "eqCatch"
"247" 0.396 6656.31
"248" 0.397 6651.89
"249" 0.398 6647.44
"250" 0.399 6642.97
"251" 0.4 6638.48
"252" 0.401 6633.96
"253" 0.402 6629.41
"254" 0.403 6624.84
"255" 0.404 6620.24
"256" 0.405 6615.62
"257" 0.406 6610.98
"258" 0.407 6606.31
"259" 0.408 6601.61
"260" 0.409 6596.9
"261" 0.41 6592.16
"262" 0.411 6587.39
"263" 0.412 6582.6
"264" 0.413 6577.79
"265" 0.414 6572.96
"266" 0.415 6568.1
"267" 0.416 6563.22
"268" 0.417 6558.32
"269" 0.418 6553.39
"270" 0.419 6548.44
"271" 0.42 6543.47
"272" 0.421 6538.48
"273" 0.422 6533.47
"274" 0.423 6528.43
"275" 0.424 6523.38
"276" 0.425 6518.3
"277" 0.426 6513.2
"278" 0.427 6508.08
"279" 0.428 6502.93
"280" 0.429 6497.77
"281" 0.43 6492.58
"282" 0.431 6487.38
"283" 0.432 6482.15
"284" 0.433 6476.91
"285" 0.434 6471.64
"286" 0.435 6466.36
"287" 0.436 6461.05
"288" 0.437 6455.72
"289" 0.438 6450.38
"290" 0.439 6445.01
"291" 0.44 6439.63
"292" 0.441 6434.22
"293" 0.442 6428.8
"294" 0.443 6423.35
"295" 0.444 6417.89
"296" 0.445 6412.41
"297" 0.446 6406.91
"298" 0.447 6401.39
"299" 0.448 6395.86
"300" 0.449 6390.3
"301" 0.45 6384.73
"302" 0.451 6379.14
"303" 0.452 6373.53
"304" 0.453 6367.9
"305" 0.454 6362.25
"306" 0.455 6356.59
"307" 0.456 6350.91
"308" 0.457 6345.21
"309" 0.458 6339.5
"310" 0.459 6333.76
"311" 0.46 6328.01
"312" 0.461 6322.25
"313" 0.462 6316.46
"314" 0.463 6310.66
"315" 0.464 6304.84
"316" 0.465 6299.01
"317" 0.466 6293.16
"318" 0.467 6287.29
"319" 0.468 6281.41
"320" 0.469 6275.51
"321" 0.47 6269.59
"322" 0.471 6263.66
"323" 0.472 6257.72
"324" 0.473 6251.75
"325" 0.474 6245.77
"326" 0.475 6239.78
"327" 0.476 6233.77
"328" 0.477 6227.74
"329" 0.478 6221.7
"330" 0.479 6215.65
"331" 0.48 6209.57
"332" 0.481 6203.49
"333" 0.482 6197.39
"334" 0.483 6191.27
"335" 0.484 6185.14
"336" 0.485 6178.99
"337" 0.486 6172.83
"338" 0.487 6166.66
"339" 0.488 6160.47
"340" 0.489 6154.27
"341" 0.49 6148.05
"342" 0.491 6141.82
"343" 0.492 6135.57
"344" 0.493 6129.31
"345" 0.494 6123.04
"346" 0.495 6116.75
"347" 0.496 6110.45
"348" 0.497 6104.14
"349" 0.498 6097.81
"350" 0.499 6091.47
"351" 0.5 6085.12
"352" 0.501 6078.75
"353" 0.502 6072.37
"354" 0.503 6065.97
"355" 0.504 6059.56
"356" 0.505 6053.14
"357" 0.506 6046.71
"358" 0.507 6040.27
"359" 0.508 6033.81
"360" 0.509 6027.34
"361" 0.51 6020.85
"362" 0.511 6014.36
"363" 0.512 6007.85
"364" 0.513 6001.33
"365" 0.514 5994.79
"366" 0.515 5988.25
"367" 0.516 5981.69
"368" 0.517 5975.12
"369" 0.518 5968.54
"370" 0.519 5961.94
"371" 0.52 5955.34
"372" 0.521 5948.72
"373" 0.522 5942.09
"374" 0.523 5935.45
"375" 0.524 5928.8
"376" 0.525 5922.14
"377" 0.526 5915.46
"378" 0.527 5908.78
"379" 0.528 5902.08
"380" 0.529 5895.37
"381" 0.53 5888.65
"382" 0.531 5881.92
"383" 0.532 5875.18
"384" 0.533 5868.43
"385" 0.534 5861.66
"386" 0.535 5854.89
"387" 0.536 5848.1
"388" 0.537 5841.31
"389" 0.538 5834.5
"390" 0.539 5827.68
"391" 0.54 5820.86
"392" 0.541 5814.02
"393" 0.542 5807.17
"394" 0.543 5800.31
"395" 0.544 5793.44
"396" 0.545 5786.57
"397" 0.546 5779.68
"398" 0.547 5772.78
"399" 0.548 5765.87
"400" 0.549 5758.95
"401" 0.55 5752.02
"402" 0.551 5745.08
"403" 0.552 5738.14
"404" 0.553 5731.18
"405" 0.554 5724.21
"406" 0.555 5717.23
"407" 0.556 5710.25
"408" 0.557 5703.25
"409" 0.558 5696.24
"410" 0.559 5689.23
"411" 0.56 5682.21
"412" 0.561 5675.17
"413" 0.562 5668.13
"414" 0.563 5661.08
"415" 0.564 5654.02
"416" 0.565 5646.95
"417" 0.566 5639.87
"418" 0.567 5632.78
"419" 0.568 5625.68
"420" 0.569 5618.58
"421" 0.57 5611.46
"422" 0.571 5604.34
"423" 0.572 5597.21
"424" 0.573 5590.07
"425" 0.574 5582.92
"426" 0.575 5575.76
"427" 0.576 5568.6
"428" 0.577 5561.42
"429" 0.578 5554.24
"430" 0.579 5547.05
"431" 0.58 5539.85
"432" 0.581 5532.64
"433" 0.582 5525.43
"434" 0.583 5518.2
"435" 0.584 5510.97
"436" 0.585 5503.73
"437" 0.586 5496.48
"438" 0.587 5489.23
"439" 0.588 5481.96
"440" 0.589 5474.69
"441" 0.59 5467.41
"442" 0.591 5460.13
"443" 0.592 5452.83
"444" 0.593 5445.53
"445" 0.594 5438.22
"446" 0.595 5430.9
"447" 0.596 5423.58
"448" 0.597 5416.24
"449" 0.598 5408.9
"450" 0.599 5401.56
"451" 0.6 5394.2
"452" 0.601 5386.84
"453" 0.602 5379.47
"454" 0.603 5372.09
"455" 0.604 5364.71
"456" 0.605 5357.32
"457" 0.606 5349.92
"458" 0.607 5342.51
"459" 0.608 5335.1
"460" 0.609 5327.68
"461" 0.61 5320.26
"462" 0.611 5312.82
"463" 0.612 5305.38
"464" 0.613 5297.94
"465" 0.614 5290.48
"466" 0.615 5283.02
"467" 0.616 5275.56
"468" 0.617 5268.08
"469" 0.618 5260.6
"470" 0.619 5253.11
"471" 0.62 5245.62
"472" 0.621 5238.12
"473" 0.622 5230.61
"474" 0.623 5223.1
"475" 0.624 5215.58
"476" 0.625 5208.06
"477" 0.626 5200.52
"478" 0.627 5192.99
"479" 0.628 5185.44
"480" 0.629 5177.89
"481" 0.63 5170.33
"482" 0.631 5162.77
"483" 0.632 5155.2
"484" 0.633 5147.63
"485" 0.634 5140.04
"486" 0.635 5132.46
"487" 0.636 5124.86
"488" 0.637 5117.26
"489" 0.638 5109.66
"490" 0.639 5102.05
"491" 0.64 5094.43
"492" 0.641 5086.81
"493" 0.642 5079.18
"494" 0.643 5071.54
"495" 0.644 5063.9
"496" 0.645 5056.26
"497" 0.646 5048.61
"498" 0.647 5040.95
"499" 0.648 5033.29
"500" 0.649 5025.62
"501" 0.65 5017.94
"502" 0.651 5010.26
"503" 0.652 5002.58
"504" 0.653 4994.89
"505" 0.654 4987.19
"506" 0.655 4979.49
"507" 0.656 4971.79
"508" 0.657 4964.08
"509" 0.658 4956.36
"510" 0.659 4948.64
"511" 0.66 4940.91
"512" 0.661 4933.18
"513" 0.662 4925.44
