"",".id","fValues","eqCatch","maxcatch","fmsy","catch90","fmsy90l","fmsy90r","species"
"1","hake-om",0.01,46827.2,401947,0.296,361752.3,0.186,0.516,"hake"
"2","hake-om",0.032,131810,401947,0.296,361752.3,0.186,0.516,"hake"
"3","hake-om",0.054,197336,401947,0.296,361752.3,0.186,0.516,"hake"
"4","hake-om",0.076,248202,401947,0.296,361752.3,0.186,0.516,"hake"
"5","hake-om",0.098,287822,401947,0.296,361752.3,0.186,0.516,"hake"
"6","hake-om",0.12,318682,401947,0.296,361752.3,0.186,0.516,"hake"
"7","hake-om",0.142,342629,401947,0.296,361752.3,0.186,0.516,"hake"
"8","hake-om",0.164,361059,401947,0.296,361752.3,0.186,0.516,"hake"
"9","hake-om",0.186,375041,401947,0.296,361752.3,0.186,0.516,"hake"
"10","hake-om",0.208,385408,401947,0.296,361752.3,0.186,0.516,"hake"
"11","hake-om",0.23,392812,401947,0.296,361752.3,0.186,0.516,"hake"
"12","hake-om",0.252,397773,401947,0.296,361752.3,0.186,0.516,"hake"
"13","hake-om",0.274,400706,401947,0.296,361752.3,0.186,0.516,"hake"
"14","hake-om",0.296,401947,401947,0.296,361752.3,0.186,0.516,"hake"
"15","hake-om",0.318,401771,401947,0.296,361752.3,0.186,0.516,"hake"
"16","hake-om",0.34,400402,401947,0.296,361752.3,0.186,0.516,"hake"
"17","hake-om",0.362,398024,401947,0.296,361752.3,0.186,0.516,"hake"
"18","hake-om",0.384,394792,401947,0.296,361752.3,0.186,0.516,"hake"
"19","hake-om",0.406,390834,401947,0.296,361752.3,0.186,0.516,"hake"
"20","hake-om",0.428,386258,401947,0.296,361752.3,0.186,0.516,"hake"
"21","hake-om",0.45,381153,401947,0.296,361752.3,0.186,0.516,"hake"
"22","hake-om",0.472,375597,401947,0.296,361752.3,0.186,0.516,"hake"
"23","hake-om",0.494,369655,401947,0.296,361752.3,0.186,0.516,"hake"
"24","hake-om",0.516,363381,401947,0.296,361752.3,0.186,0.516,"hake"
"25","hake-om",0.538,356823,401947,0.296,361752.3,0.186,0.516,"hake"
"26","hake-om",0.56,350023,401947,0.296,361752.3,0.186,0.516,"hake"
"27","hake-om",0.582,343014,401947,0.296,361752.3,0.186,0.516,"hake"
"28","hake-om",0.604,335826,401947,0.296,361752.3,0.186,0.516,"hake"
"29","hake-om",0.626,328486,401947,0.296,361752.3,0.186,0.516,"hake"
"30","hake-om",0.648,321017,401947,0.296,361752.3,0.186,0.516,"hake"
